Reference, Value, Footprint, Datasheet, Description, MF, Price, MP, Availability, manf#
"MODULE1","RN2903","TIH:RN2483","None","Sub-GHz Dual Band Long Range Transceiver LoRa Module","Microchip","14.12 USD","RN2483-I/RM095","Bad","RN2903-I/RM095"
"U1","AP2112","TO_SOT_Packages_SMD:SOT-23-5","","","","","","","AP2112K-3.3TRG1"
"P3","USB_A","TIH:10118192-0001LF","","","","","","","105017-0001"
"P7","I2C","Connectors_JST:JST_PH_S4B-PH-K_04x2.00mm_Angled",""
"Y1","8Mhz","Crystals:Crystal_HC49-SD_SMD","","","","","","","HC49SSDLF-8.00MHz"
"C8","22pF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","885012007012"
"C9","22pF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","885012007012"
"C7","1uF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","GRM21BR71C105KA01L"
"R9","22R","Resistors_SMD:R_0805_HandSoldering","","","","","","","BLM21PG220SN1D"
"R10","22R","Resistors_SMD:R_0805_HandSoldering","","","","","","","BLM21PG220SN1D"
"R2","100K","Resistors_SMD:R_0805_HandSoldering","","","","","","","WR08X1003FTL"
"C1","10uF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","GRM21BR61A106KE19L"
"C2","10uF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","GRM21BR61A106KE19L"
"D1","MBR120","Diodes_SMD:SOD-123","","","","","","","NRVB120VLSFT1G"
"R8","10K","Resistors_SMD:R_0805_HandSoldering","","","","","","","CPF0805B10KE1"
"U2","MCP73831T-2ATI/OT","TO_SOT_Packages_SMD:SOT-23-5","SOT-23 Microchip","MCP73831 Series Li-Ion/Li-Pol 15 mA - 500 mA 4.2 V Charge Controller - SOT-23-5","Microchip","0.48 USD","MCP73831T-2ATI/OT","Good","MCP73831T-2DCI/OT"
"R4","330R","Resistors_SMD:R_0805_HandSoldering","","","","","","","ESR10EZPF3300"
"D3","CHG","LEDs:LED_0805","","","","","","","LTST-C170KRKT"
"P4","Battery","Pin_Headers:Pin_Header_Straight_1x02",""
"D4","DONE","LEDs:LED_0805","","","","","","","SM0805GCL"
"R5","330R","Resistors_SMD:R_0805_HandSoldering","","","","","","","ESR10EZPF3300"
"C6","10uF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","GRM21BR61A106KE19L"
"R12","4.7K","Resistors_SMD:R_0805_HandSoldering","","","","","","","RG2012P-472-B-T5"
"R11","4.7K","Resistors_SMD:R_0805_HandSoldering","","","","","","","RG2012P-472-B-T5"
"SW1","SW_PUSH","TIH:SW_SPST_KMR2","","","","","","","KMR211G LFS"
"R7","10K","Resistors_SMD:R_0805_HandSoldering","","","","","","","CPF0805B10KE1"
"P1","PICKIT PROGRAMMER","Pin_Headers:Pin_Header_Straight_1x05",""
"R3","10K","Resistors_SMD:R_0805_HandSoldering","","","","","","","CPF0805B10KE1"
"P8","A2","Connectors_JST:JST_PH_S4B-PH-K_04x2.00mm_Angled",""
"P5","A0","Connectors_JST:JST_PH_S4B-PH-K_04x2.00mm_Angled",""
"P6","D9","Connectors_JST:JST_PH_S4B-PH-K_04x2.00mm_Angled",""
"C4","0.1uF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","GRM21BR71E104KA01L"
"R1","100R","Resistors_SMD:R_0805_HandSoldering","","","","","","","ESR10EZPJ101"
"D2","Led","LEDs:LED_0805","","","","","","","LTST-C170TBKT"
"C5","0.1uF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","GRM21BR71E104KA01L"
"A1","ANT","TIH:GSG-SMA-EDGE","","","","","","","CONSMA003.062"
"C3","1uF","Capacitors_SMD:C_0805_HandSoldering","","","","","","","GRM21BR71C105KA01L"
"D5","LED","LEDs:LED_0805","","","","","","","LTST-C170TBKT"
"R6","330","Resistors_SMD:R_0805_HandSoldering","","","","","","","ESR10EZPF3300"
"U3","ATmega32U4-AU","Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm","","","","","","","ATMEGA32U2-AU"
"P2","ICSP","Pin_Headers:Pin_Header_Straight_2x03",""
